EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MF,NDB,OH,MANSFIELD,US,MANNS,OHIO,AGL,N,40,45,58.7801,40.7663278,W,82,26,42.5435,-82.44515097,1312,6,W,1985,NA
2026-01-22,MF,NDB,TX,MC ALLEN,US,MISSI,TEXAS,ASW,N,26,15,13.811,26.25383638,W,98,18,37.7765,-98.31049347,160.1,4,E,2020,NA
2026-01-22,MFD,TACAN,OH,MANSFIELD,US,MANSFIELD,OHIO,AGL,N,40,52,7.0036,40.86861211,W,82,35,27.4614,-82.5909615,1222,3,W,1965,NA
2026-01-22,MFE,VOR/DME,TX,MC ALLEN,US,MC ALLEN,TEXAS,ASW,N,26,10,25.9559,26.17387663,W,98,14,26.8311,-98.24078641,95.4,9,E,1965,H
2026-01-22,MFR,VOT,OR,MEDFORD,US,MEDFORD,OREGON,ANM,N,42,21,30.5,42.35847222,W,122,51,59.1,-122.86641666,1300,NA,NA,NA,NA
2026-01-22,MG,NDB,AL,MONTGOMERY,US,MARRA,ALABAMA,ASO,N,32,18,41.8147,32.31161519,W,86,30,38.2841,-86.51063447,239.6,1,W,1990,NA
2026-01-22,MGM,VORTAC,AL,MONTGOMERY,US,MONTGOMERY,ALABAMA,ASO,N,32,13,20.2138,32.22228161,W,86,19,11.0175,-86.31972708,271,3,E,1965,VH
2026-01-22,MGR,DME,GA,MOULTRIE,US,MOULTRIE,GEORGIA,ASO,N,31,4,56.1663,31.08226841,W,83,48,15.1764,-83.80421566,285.5,NA,NA,NA,NA
2026-01-22,MGW,VOR/DME,WV,MORGANTOWN,US,MORGANTOWN,WEST VIRGINIA,AEA,N,39,33,24.1749,39.55671525,W,79,51,37.4843,-79.8604123,2342.5,5,W,1965,L
2026-01-22,MHE,VOR/DME,SD,MITCHELL,US,MITCHELL,SOUTH DAKOTA,AGL,N,43,46,37.278,43.77702166,W,98,2,15.2357,-98.03756547,1298.1,4,E,2020,VL
2026-01-22,MHF,VOR/DME,TX,SMITH POINT,US,TRINITY,TEXAS,ASW,N,29,32,46.835,29.54634305,W,94,44,51.046,-94.74751277,38,7,E,1985,VL
2026-01-22,MHK,VOR/DME,KS,MANHATTAN,US,MANHATTAN,KANSAS,ACE,N,39,8,43.5957,39.14544325,W,96,40,7.4236,-96.66872877,1044.2,4,E,2010,T
2026-01-22,MHT,DME,NH,MANCHESTER,US,MANCHESTER,NEW HAMPSHIRE,ANE,N,42,52,6.7077,42.86852991,W,71,22,10.3242,-71.3695345,470.3,NA,NA,NA,NA
2026-01-22,MHZ,VORTAC,MS,MADISON,US,MAGNOLIA,MISSISSIPPI,ASO,N,32,26,2.65,32.43406944,W,90,5,59.18,-90.09977222,407,1,W,2015,VH
2026-01-22,MIB,TACAN,ND,MINOT,US,DEERING,NORTH DAKOTA,AGL,N,48,24,55.41,48.41539166,W,101,21,58.04,-101.36612222,1654.3,7,E,2015,NA
2026-01-22,MIE,VOR/DME,IN,MUNCIE,US,MUNCIE,INDIANA,AGL,N,40,14,14.2533,40.23729258,W,85,23,38.5315,-85.39403652,934.3,3,W,1985,L
